Review ID,Positive Restaurant Keywords,Negative Restaurant Keywords,Dish 1 Name,Dish 1 Keywords,Dish 2 Name,Dish 2 Keywords,Dish 3 Name,Dish 3 Keywords,Dish 4 Name,Dish 4 Keywords,Dish 5 Name,Dish 5 Keywords
22,"amazing taste, perfect spice","mixed reviews on food, cold Nahari",Haleem,"amazing taste, perfect spice",Nahari,"previously frozen, still cold",tandori chicken,"good, standard",kabobs,"good, standard",,
23,"fluffy hot naans, delicious, always fresh",surroundings not quite restaurant-standard clean,cheese naan,"delicious, always fresh",chicken kadai,,dal fry,,pepper fish,,haleem,
24,"good food, seems authentic","hot, no air conditioner",,,,,,,,,,
25,,"everything microwaved, no bathroom, non-existent customer service",,,,,,,,,,
26,,"average, warm drink",paneer dishes,average,garlic naan,average,,,,,,
27,phenomenal cheese naan,overpriced,cheese naan,phenomenal,mattar paneer,"tough, flavorless",masala tea,"ok, bland",,,,
28,,,Keema fry,must try,Channa fry,must try,hot naan,,,,,
29,"amazing food, exceptional naan",,cheese naan,exceptional,tandoori chicken,great,,,,,,
30,"authentic Indo-Pakistani cuisine, packed to the gills, best naan",chaotic location,Nihari,signature dish,Half Kadhai,signature dish,,,,,,
31,"amazing place for quick lunch, out of this world naan",,naan,out of this world,,,,,,,,
32,"best naan so far, hands down",,cheese and garlic naan,best naan,,,,,,,,
33,"great food and service, reasonable price",,mixed platter,great,chicken tikka,,kababs,,,,,
34,"cheap delicious eats, hits the spot",,,,,,,,,,,
35,"tender and spicy good mutton, tasty and well-cooked",,mutton briyani,"tender, spicy good",aloo gobi,,,,,,,
36,"best naan in town, opens till late",,variety of naan,"soft, delicious",butter chicken,,keema,,,,,
37,"amazing nihari, delicious chicken biryani, amazing seekh kebab",,nihari,perfection,chicken biryani,delicious,seekh kebab,amazing,,,,
38,"affordable, good food",really slow service,,,,,,,,,,
39,,"typical super oily, strange smells",,,,,,,,,,
40,"great staff, very accommodating, nice view",,,,,,,,,,,
101,"great food, nice decor, cozy place",,masala dosa,great,vada,crunchy,idli,fluffy,,,,
102,authentic South Indian flavors,,rasam,"tangy, spicy",parippu vada,crispy,sambar,delicious,,,,
103,"delicious, well-spiced food, courteous service",,chicken biryani,flavorful,naan,"soft, warm",butter chicken,"rich, creamy",,,,
104,"great ambiance, quick service",,paneer tikka,well-marinated,dal makhani,"buttery, thick",garlic naan,"fresh, hot",,,,
105,"flavorful Indian food, reasonable prices",,vegetable biryani,"tasty, spiced right",chicken tikka,"tender, juicy",mango lassi,"sweet, refreshing",,,,
106,"excellent service, delicious food",,fish curry,flavorful,roti,"warm, fluffy",,,,,,
107,"tasty food, attentive staff",,chicken curry,"spicy, well-cooked",naan,perfect,samosas,crisp,,,,
108,"fresh, authentic flavors, friendly service",,dosas,crispy,uttapam,soft,coconut chutney,tasty,,,,
109,"warm ambiance, great for families",,chicken korma,"creamy, mild",biryani,fragrant,naan,"fresh, soft",,,,
110,"good variety, great vegetarian options",,aloo gobi,flavorful,palak paneer,delicious,naan,"warm, fluffy",,,,
111,"great for large groups, accommodating staff",,lamb curry,tender,naan,good,raita,cooling,,,,
112,"quick service, tasty dishes",,pav bhaji,delicious,paneer butter masala,rich,puri,"puffed, light",,,,
113,"excellent food, courteous staff",,chicken tikka masala,flavorful,naan,good,lassi,sweet,,,,
114,"flavorful biryani, fresh ingredients",,biryani,flavorful,tandoori chicken,"juicy, well-spiced",naan,"soft, warm",,,,
115,"delicious dosa, great service",,dosa,crispy,sambar,tasty,vada,good,,,,
116,great place for authentic Indian cuisine,,mutton curry,"tender, spicy",naan,"fresh, hot",rice,well-cooked,,,,
117,"cozy spot, fantastic food",,butter chicken,"creamy, rich",garlic naan,tasty,chicken tikka,spiced well,,,,
118,"wonderful experience, delicious food",,malai kofta,"rich, creamy",naan,good,kheer,sweet,,,,
119,"impressive food quality, friendly service",,dal tadka,flavorful,paneer tikka,good,naan,warm,,,,
120,"great ambiance, excellent food",,veg pulao,tasty,paneer butter masala,"rich, flavorful",naan,soft,,,,
121,"delicious Chinese food, fast service, friendly staff",,Kung Pao Chicken,"spicy, flavorful",Mongolian Beef,"tender, juicy",Egg Rolls,crispy,,,,
122,"great ambiance, wide variety, excellent food",,Dim Sum,"delicious, fresh",Peking Duck,"crispy skin, tender meat",Wonton Soup,flavorful broth,,,,
123,"amazing sushi, fresh ingredients, great service",,Dragon Roll,"fresh, flavorful",Spicy Tuna Roll,"spicy, well-prepared",Miso Soup,delicious,,,,
124,"delightful Thai cuisine, friendly service",,Pad Thai,flavorful,Green Curry,"creamy, spicy",Mango Sticky Rice,"sweet, delicious",,,,
125,"cozy atmosphere, great drinks, friendly bartenders",,Margarita,"refreshing, strong",Martini,"smooth, well-balanced",Nachos,"cheesy, crispy",,,,
126,"authentic Italian food, wonderful flavors",,Margherita Pizza,"fresh, cheesy",Fettuccine Alfredo,"creamy, rich",Tiramisu,"light, sweet",,,,
127,"fast service, tasty food",,BBQ Ribs,"tender, smoky",Cornbread,"moist, buttery",Coleslaw,"crunchy, tangy",,,,
128,"fantastic Greek food, reasonable prices",,Gyro,"flavorful, tender",Spanakopita,"flaky, delicious",Baklava,"sweet, nutty",,,,
129,"excellent ramen, rich broth",,Tonkotsu Ramen,"rich, savory",Shoyu Ramen,"flavorful, light",Gyoza,"crispy, juicy",,,,
130,"warm ambiance, delightful pastries",,Croissant,"buttery, flaky",Danish Pastry,"sweet, soft",Cappuccino,"rich, frothy",,,,
131,"friendly service, tasty Mexican food",,Tacos,flavorful,Burrito,"hearty, filling",Salsa,"fresh, spicy",,,,
132,"great for families, diverse menu",,Pizza,"cheesy, delicious",Pasta,"al dente, flavorful",Ice Cream,"creamy, rich",,,,
133,"amazing BBQ, friendly staff",,Brisket,"tender, smoky",Pulled Pork,"juicy, flavorful",Mac and Cheese,"creamy, cheesy",,,,
134,"lovely ambiance, delicious French cuisine",,Escargot,"garlicky, tender",Duck Confit,"crispy, rich",Creme Brulee,"sweet, creamy",,,,
135,"delightful brunch spot, excellent coffee",,Eggs Benedict,"perfectly poached, hollandaise",Avocado Toast,"fresh, tasty",Latte,"smooth, creamy",,,,
136,"perfect for a date night, wonderful service",,Steak,"tender, juicy",Lobster,"rich, buttery",Chocolate Mousse,"decadent, smooth",,,,
137,"great vegetarian options, flavorful dishes",,Veggie Burger,"hearty, flavorful",Lentil Soup,"warm, comforting",Quinoa Salad,"fresh, healthy",,,,
138,"impressive wine selection, delicious tapas",,Patatas Bravas,"crispy, spicy",Jamon Iberico,"rich, savory",Manchego Cheese,"creamy, nutty",,,,
139,"outstanding Indian cuisine, great portions",,Chicken Tikka Masala,"flavorful, creamy",Lamb Vindaloo,"spicy, tender",Garlic Naan,"soft, garlicky",,,,
140,"wonderful bakery, fresh bread, friendly staff",,Sourdough Bread,"crusty, tangy",Cinnamon Roll,"sweet, sticky",Baguette,"crunchy, soft",,,,
141,"cozy atmosphere, friendly staff, excellent coffee",,Cappuccino,"rich, creamy",Blueberry Muffin,"fresh, sweet",Croissant,"buttery, flaky",,,,
142,"delightful ambiance, great selection, tasty food",,Bagel with Cream Cheese,"smooth, creamy",Lox Bagel,"fresh, savory",Iced Coffee,"refreshing, strong",,,,
143,"wonderful brunch, nice outdoor seating, friendly service",,Eggs Benedict,perfectly poached,French Toast,"sweet, delicious",Bacon,"crispy, flavorful",,,,
144,"fast service, delicious food, clean environment",,Cheeseburger,"juicy, well-cooked",Fries,"crispy, salty",Milkshake,"thick, creamy",,,,
145,"great BBQ, friendly atmosphere, reasonable prices",,Baby Back Ribs,"tender, smoky",BBQ Chicken,"juicy, flavorful",Baked Beans,"savory, sweet",,,,
146,"excellent seafood, nice view, friendly staff",,Grilled Salmon,"fresh, well-seasoned",Clam Chowder,"rich, hearty",Crab Cakes,"crispy, flavorful",,,,
147,"fantastic desserts, cozy cafe, friendly service",,Cheesecake,"creamy, rich",Chocolate Cake,"moist, decadent",Fruit Tart,"fresh, sweet",,,,
148,"delicious pizza, quick service, great value",,Pepperoni Pizza,"spicy, cheesy",Margherita Pizza,"fresh, flavorful",Garlic Knots,"buttery, garlicky",,,,
149,"nice atmosphere, good drinks, friendly bartenders",,Mojito,"refreshing, minty",Old Fashioned,"strong, smooth",Chicken Wings,"spicy, crispy",,,,
150,"flavorful Indian food, friendly staff, quick service",,Butter Chicken,"rich, creamy",Lamb Biryani,"flavorful, tender",Garlic Naan,"soft, buttery",,,,
151,"great sushi, fresh ingredients, friendly service",,California Roll,"fresh, delicious",Tempura Roll,"crispy, flavorful",Edamame,"salty, tender",,,,
152,"wonderful pastries, nice ambiance, friendly staff",,Danish Pastry,"sweet, soft",Chocolate Croissant,"rich, flaky",Macarons,"delicate, flavorful",,,,
153,"impressive wine list, delicious tapas, cozy atmosphere",,Patatas Bravas,"crispy, spicy",Chorizo,"savory, well-seasoned",Sangria,"sweet, fruity",,,,
154,"lovely brunch spot, great pancakes, excellent service",,Pancakes,"fluffy, buttery",Omelette,"hearty, well-cooked",Fresh Fruit,"ripe, sweet",,,,
155,"excellent steak, nice decor, attentive staff",,Ribeye Steak,"tender, juicy",Mashed Potatoes,"creamy, buttery",Asparagus,"grilled, flavorful",,,,
156,"fresh seafood, friendly service, clean environment",,Oysters,"fresh, briny",Lobster Roll,"rich, buttery",Clam Chowder,"thick, creamy",,,,
157,"great breakfast, cozy spot, friendly staff",,Breakfast Burrito,"hearty, filling",Pancakes,"fluffy, delicious",Coffee,"strong, hot",,,,
158,"authentic Mexican food, friendly service, great margaritas",,Tacos,"spicy, flavorful",Guacamole,"fresh, creamy",Enchiladas,"rich, cheesy",,,,
159,"nice patio seating, great service, tasty food",,Bruschetta,"fresh, garlicky",Caprese Salad,"light, flavorful",Gelato,"creamy, sweet",,,,
160,"lovely bakery, delicious pastries, friendly staff",,Almond Croissant,"flaky, nutty",Eclair,"creamy, sweet",Cinnamon Roll,"soft, gooey",,,,
161,"charming atmosphere, friendly staff, excellent pastries",,Croissant,"buttery, flaky",Pain au Chocolat,"rich, chocolatey",Quiche,"savory, filling",,,,
162,"great seafood, friendly service, nice view",,Lobster Bisque,"creamy, rich",Crab Legs,"tender, juicy",Clam Chowder,"hearty, flavorful",,,,
163,"delicious coffee, cozy ambiance, friendly baristas",,Espresso,"strong, smooth",Cappuccino,"frothy, rich",Latte,"creamy, delicious",,,,
164,"fast service, great for lunch, tasty sandwiches",,Club Sandwich,"hearty, filling",BLT,"crispy, flavorful",Iced Tea,"refreshing, sweet",,,,
165,"authentic Mexican cuisine, friendly staff, great value",,Tacos,"flavorful, spicy",Quesadilla,"cheesy, savory",Nachos,"crunchy, delicious",,,,
166,"amazing sushi, fresh ingredients, nice presentation",,Sashimi,"fresh, tender",Nigiri,"flavorful, well-cut",Miso Soup,"warm, savory",,,,
167,"wonderful atmosphere, friendly staff, excellent desserts",,Cheesecake,"creamy, rich",Brownie,"fudgy, moist",Gelato,"smooth, creamy",,,,
168,"great place for a quick bite, tasty burgers, fast service",,Cheeseburger,"juicy, well-seasoned",Fries,"crispy, salty",Milkshake,"thick, creamy",,,,
169,"delightful Thai food, cozy setting, friendly service",,Pad Thai,"flavorful, well-balanced",Green Curry,"spicy, creamy",Spring Rolls,"fresh, crunchy",,,,
170,"impressive wine list, delicious food, great service",,Filet Mignon,"tender, juicy",Lobster Tail,"rich, buttery",Truffle Mashed Potatoes,"creamy, savory",,,,
171,"authentic Italian cuisine, charming ambiance, friendly service",,Spaghetti Carbonara,"rich, creamy",Margherita Pizza,"fresh, cheesy",Tiramisu,"light, sweet",,,,
172,"cozy cafe, delicious pastries, friendly staff",,Almond Croissant,"flaky, nutty",Blueberry Muffin,"moist, sweet",Coffee,"strong, hot",,,,
173,"great ramen, friendly staff, nice decor",,Tonkotsu Ramen,"rich, savory",Shoyu Ramen,"light, flavorful",Gyoza,"crispy, juicy",,,,
174,"lovely spot for brunch, delicious food, great service",,Eggs Benedict,perfectly poached,French Toast,"sweet, buttery",Bacon,"crispy, salty",,,,
175,"wonderful seafood, fresh ingredients, friendly service",,Oysters,"briny, fresh",Crab Cakes,"crispy, flavorful",Shrimp Cocktail,"juicy, tangy",,,,
176,"fantastic Indian food, friendly staff, nice ambiance",,Chicken Tikka Masala,"flavorful, creamy",Lamb Vindaloo,"spicy, tender",Naan,"soft, buttery",,,,
177,"great vegetarian options, cozy atmosphere, friendly service",,Veggie Burger,"hearty, flavorful",Quinoa Salad,"fresh, healthy",Hummus,"creamy, delicious",,,,
178,"delightful French cuisine, charming decor, friendly staff",,Coq au Vin,"tender, flavorful",Ratatouille,"savory, well-seasoned",Creme Brulee,"sweet, creamy",,,,
179,"impressive beer selection, tasty food, friendly atmosphere",,Fish and Chips,"crispy, well-seasoned",Burger,"juicy, well-cooked",Pretzel,"soft, salty",,,,
180,"delicious breakfast, cozy cafe, friendly service",,Pancakes,"fluffy, buttery",Omelette,"cheesy, filling",Coffee,"strong, hot",,,,
181,"charming cafe, friendly staff, excellent pastries",,Croissant,"buttery, flaky",Blueberry Scone,"fresh, sweet",Cappuccino,"rich, creamy",,,,
182,"great seafood, friendly service, nice ambiance",,Lobster Roll,"tender, flavorful",Clam Chowder,"rich, hearty",Grilled Salmon,"well-seasoned, flaky",,,,
183,"delightful brunch spot, nice view, friendly service",,Avocado Toast,"fresh, tasty",Eggs Benedict,perfectly poached,Pancakes,"fluffy, sweet",,,,
184,"cozy atmosphere, great coffee, friendly baristas",,Espresso,"strong, smooth",Latte,"creamy, rich",Iced Coffee,"refreshing, strong",,,,
185,"delicious sushi, fresh ingredients, great presentation",,Tuna Roll,"fresh, flavorful",Salmon Sashimi,"tender, buttery",Miso Soup,"warm, savory",,,,
186,"wonderful desserts, friendly staff, charming decor",,Cheesecake,"creamy, rich",Chocolate Mousse,"decadent, smooth",Lemon Tart,"tangy, sweet",,,,
187,"tasty pizza, quick service, great value",,Margherita Pizza,"fresh, cheesy",Pepperoni Pizza,"spicy, flavorful",Garlic Knots,"buttery, garlicky",,,,
188,"great BBQ, friendly atmosphere, reasonable prices",,Brisket,"tender, smoky",Pulled Pork,"juicy, flavorful",Mac and Cheese,"creamy, cheesy",,,,
189,"excellent ramen, cozy setting, friendly staff",,Tonkotsu Ramen,"rich, savory",Shoyu Ramen,"light, flavorful",Gyoza,"crispy, juicy",,,,
190,"impressive wine list, delicious food, great service",,Ribeye Steak,"tender, juicy",Lobster Tail,"rich, buttery",Truffle Fries,"crispy, savory",,,,
191,"wonderful bakery, delicious pastries, friendly staff",,Almond Croissant,"flaky, nutty",Eclair,"creamy, sweet",Cinnamon Roll,"soft, gooey",,,,
192,"great coffee, cozy spot, friendly baristas",,Flat White,"smooth, creamy",Cappuccino,"rich, frothy",Espresso,"strong, bold",,,,
193,"delightful Thai food, nice ambiance, friendly service",,Pad Thai,"flavorful, well-balanced",Green Curry,"spicy, creamy",Mango Sticky Rice,"sweet, delicious",,,,
194,"authentic Italian cuisine, great ambiance, friendly staff",,Spaghetti Carbonara,"rich, creamy",Margherita Pizza,"fresh, cheesy",Tiramisu,"light, sweet",,,,
195,"fantastic sushi, fresh ingredients, friendly staff",,Dragon Roll,"flavorful, spicy",Eel Nigiri,"tender, savory",Miso Soup,"warm, savory",,,,
196,"great spot for breakfast, friendly service, delicious food",,French Toast,"sweet, buttery",Breakfast Burrito,"hearty, filling",Coffee,"strong, hot",,,,
197,"impressive beer selection, tasty food, friendly atmosphere",,Fish and Chips,"crispy, well-seasoned",Pretzel,"soft, salty",Chicken Wings,"spicy, crispy",,,,
198,"charming bistro, excellent food, great service",,Coq au Vin,"tender, flavorful",Ratatouille,"savory, well-seasoned",Creme Brulee,"sweet, creamy",,,,
199,"delightful brunch, great food, friendly service",,Omelette,"cheesy, fluffy",Pancakes,"light, sweet",Bacon,"crispy, savory",,,,
200,"great place for lunch, friendly staff, nice ambiance",,BLT Sandwich,"hearty, flavorful",Caesar Salad,"fresh, crispy",Lemonade,"refreshing, tangy",,,,
201,"friendly service, great food, cozy atmosphere",,Cheeseburger,"juicy, flavorful",Fries,"crispy, salty",Milkshake,"thick, creamy",,,,
202,"delightful ambiance, excellent coffee, friendly staff",,Cappuccino,"rich, frothy",Croissant,"buttery, flaky",Blueberry Muffin,"fresh, sweet",,,,
203,"amazing sushi, fresh ingredients, nice presentation",,Salmon Roll,"fresh, flavorful",Tuna Sashimi,"tender, buttery",Miso Soup,"warm, savory",,,,
204,"delicious Indian food, friendly service, cozy setting",,Chicken Tikka Masala,"flavorful, creamy",Garlic Naan,"soft, buttery",Mango Lassi,"sweet, refreshing",,,,
205,"wonderful pastries, friendly staff, charming cafe",,Almond Croissant,"flaky, nutty",Pain au Chocolat,"rich, chocolatey",Cappuccino,"smooth, creamy",,,,
206,"great brunch spot, delicious food, friendly service",,Eggs Benedict,perfectly poached,Pancakes,"fluffy, sweet",Bacon,"crispy, flavorful",,,,
207,"excellent BBQ, friendly atmosphere, reasonable prices",,Brisket,"tender, smoky",BBQ Ribs,"juicy, flavorful",Coleslaw,"crunchy, tangy",,,,
208,"cozy cafe, great coffee, friendly baristas",,Latte,"creamy, rich",Flat White,"smooth, silky",Espresso,"strong, bold",,,,
209,"fantastic Italian cuisine, great ambiance, friendly staff",,Margherita Pizza,"fresh, cheesy",Fettuccine Alfredo,"creamy, rich",Tiramisu,"light, sweet",,,,
210,"tasty burgers, quick service, great value",,Cheeseburger,"juicy, well-cooked",Onion Rings,"crispy, salty",Milkshake,"thick, creamy",,,,
211,"wonderful desserts, cozy atmosphere, friendly staff",,Cheesecake,"creamy, rich",Chocolate Cake,"moist, decadent",Fruit Tart,"fresh, sweet",,,,
212,"great seafood, friendly service, nice view",,Lobster Bisque,"creamy, rich",Grilled Shrimp,"tender, flavorful",Clam Chowder,"hearty, savory",,,,
213,"delightful Thai food, cozy setting, friendly service",,Pad Thai,"flavorful, well-balanced",Green Curry,"spicy, creamy",Spring Rolls,"fresh, crispy",,,,
214,"excellent ramen, rich broth, friendly staff",,Tonkotsu Ramen,"rich, savory",Shoyu Ramen,"light, flavorful",Gyoza,"crispy, juicy",,,,
215,"great place for breakfast, friendly service, nice atmosphere",,Pancakes,"fluffy, buttery",Omelette,"cheesy, filling",Coffee,"strong, hot",,,,
216,"impressive wine list, delicious food, great service",,Filet Mignon,"tender, juicy",Lobster Tail,"rich, buttery",Truffle Fries,"crispy, savory",,,,
217,"authentic Mexican cuisine, friendly staff, great value",,Tacos,"flavorful, spicy",Guacamole,"fresh, creamy",Enchiladas,"rich, cheesy",,,,
218,"wonderful brunch, nice outdoor seating, friendly service",,Eggs Benedict,perfectly poached,French Toast,"sweet, delicious",Bacon,"crispy, flavorful",,,,
219,"cozy atmosphere, great coffee, friendly baristas",,Cappuccino,"rich, frothy",Latte,"creamy, smooth",Espresso,"strong, bold",,,,
220,"fantastic sushi, fresh ingredients, friendly service",,Dragon Roll,"flavorful, spicy",Eel Nigiri,"tender, savory",Miso Soup,"warm, savory",,,,
221,"excellent ambiance, friendly staff, delicious coffee",,Espresso,"strong, smooth",Cappuccino,"rich, creamy",Croissant,"buttery, flaky",,,,
222,"delightful brunch spot, nice decor, friendly service",,Avocado Toast,"fresh, tasty",Eggs Benedict,perfectly poached,French Toast,"sweet, delicious",,,,
223,"great seafood, friendly service, nice view",,Lobster Roll,"tender, flavorful",Clam Chowder,"rich, hearty",Grilled Salmon,"well-seasoned, flaky",,,,
224,"fantastic Italian cuisine, great ambiance, friendly staff",,Margherita Pizza,"fresh, cheesy",Fettuccine Alfredo,"creamy, rich",Tiramisu,"light, sweet",,,,
225,"wonderful bakery, delicious pastries, friendly staff",,Almond Croissant,"flaky, nutty",Blueberry Muffin,"moist, sweet",Cinnamon Roll,"soft, gooey",,,,
226,"authentic Mexican cuisine, great value, friendly staff",,Tacos,"flavorful, spicy",Guacamole,"fresh, creamy",Enchiladas,"rich, cheesy",,,,
227,"cozy cafe, great coffee, friendly baristas",,Flat White,"smooth, creamy",Cappuccino,"rich, frothy",Espresso,"strong, bold",,,,
228,"excellent sushi, fresh ingredients, friendly service",,Dragon Roll,"fresh, flavorful",Spicy Tuna Roll,"spicy, well-prepared",Miso Soup,"warm, savory",,,,
229,"great BBQ, friendly atmosphere, reasonable prices",,Brisket,"tender, smoky",Pulled Pork,"juicy, flavorful",Coleslaw,"crunchy, tangy",,,,
230,"wonderful desserts, charming decor, friendly staff",,Cheesecake,"creamy, rich",Chocolate Cake,"moist, decadent",Lemon Tart,"tangy, sweet",,,,
231,"delightful Thai food, cozy setting, friendly service",,Pad Thai,"flavorful, well-balanced",Green Curry,"spicy, creamy",Spring Rolls,"fresh, crispy",,,,
232,"great coffee, nice ambiance, friendly baristas",,Cappuccino,"rich, creamy",Latte,"smooth, silky",Blueberry Scone,"fresh, sweet",,,,
233,"fantastic Indian food, cozy atmosphere, friendly staff",,Butter Chicken,"flavorful, creamy",Garlic Naan,"soft, buttery",Mango Lassi,"sweet, refreshing",,,,
234,"amazing sushi, fresh ingredients, nice presentation",,Salmon Roll,"fresh, flavorful",Tuna Sashimi,"tender, buttery",Miso Soup,"warm, savory",,,,
235,"great spot for breakfast, friendly service, nice decor",,Pancakes,"fluffy, buttery",Omelette,"cheesy, filling",Coffee,"strong, hot",,,,
236,"impressive wine list, delicious food, great service",,Filet Mignon,"tender, juicy",Lobster Tail,"rich, buttery",Truffle Fries,"crispy, savory",,,,
237,"authentic Italian cuisine, charming ambiance, friendly staff",,Spaghetti Carbonara,"rich, creamy",Margherita Pizza,"fresh, cheesy",Tiramisu,"light, sweet",,,,
238,"wonderful bakery, friendly staff, delicious pastries",,Almond Croissant,"flaky, nutty",Pain au Chocolat,"rich, chocolatey",Cappuccino,"smooth, creamy",,,,
239,"delightful brunch spot, great food, friendly service",,Eggs Benedict,perfectly poached,French Toast,"sweet, delicious",Bacon,"crispy, flavorful",,,,
240,"cozy cafe, delicious coffee, friendly baristas",,Espresso,"strong, smooth",Latte,"creamy, rich",Blueberry Muffin,"fresh, sweet",,,,
241,"friendly staff, great food, cozy ambiance",,Burger,"juicy, flavorful",Fries,"crispy, salty",Milkshake,"thick, creamy",,,,
242,"wonderful ambiance, excellent coffee, friendly service",,Cappuccino,"rich, frothy",Croissant,"buttery, flaky",Blueberry Muffin,"fresh, sweet",,,,
243,"amazing sushi, fresh ingredients, nice presentation",,Dragon Roll,"fresh, flavorful",Spicy Tuna Roll,"spicy, well-prepared",Miso Soup,"warm, savory",,,,
244,"delicious Indian food, friendly service, cozy atmosphere",,Butter Chicken,"flavorful, creamy",Garlic Naan,"soft, buttery",Mango Lassi,"sweet, refreshing",,,,
245,"great pastries, friendly staff, charming cafe",,Almond Croissant,"flaky, nutty",Pain au Chocolat,"rich, chocolatey",Cappuccino,"smooth, creamy",,,,
246,"delightful brunch, nice decor, friendly service",,Avocado Toast,"fresh, tasty",Eggs Benedict,perfectly poached,Pancakes,"fluffy, sweet",,,,
247,"excellent BBQ, friendly atmosphere, reasonable prices",,Brisket,"tender, smoky",BBQ Ribs,"juicy, flavorful",Coleslaw,"crunchy, tangy",,,,
248,"cozy cafe, great coffee, friendly baristas",,Latte,"creamy, rich",Flat White,"smooth, silky",Espresso,"strong, bold",,,,
249,"fantastic Italian food, great ambiance, friendly staff",,Margherita Pizza,"fresh, cheesy",Fettuccine Alfredo,"creamy, rich",Tiramisu,"light, sweet",,,,
250,"tasty burgers, quick service, great value",,Cheeseburger,"juicy, well-cooked",Onion Rings,"crispy, salty",Milkshake,"thick, creamy",,,,
251,"wonderful desserts, cozy atmosphere, friendly staff",,Cheesecake,"creamy, rich",Chocolate Cake,"moist, decadent",Fruit Tart,"fresh, sweet",,,,
252,"great seafood, friendly service, nice view",,Lobster Bisque,"creamy, rich",Grilled Shrimp,"tender, flavorful",Clam Chowder,"hearty, savory",,,,
253,"delightful Thai food, cozy setting, friendly service",,Pad Thai,"flavorful, well-balanced",Green Curry,"spicy, creamy",Spring Rolls,"fresh, crispy",,,,
254,"excellent ramen, rich broth, friendly staff",,Tonkotsu Ramen,"rich, savory",Shoyu Ramen,"light, flavorful",Gyoza,"crispy, juicy",,,,
255,"great place for breakfast, friendly service, nice ambiance",,Pancakes,"fluffy, buttery",Omelette,"cheesy, filling",Coffee,"strong, hot",,,,
256,"impressive wine list, delicious food, great service",,Filet Mignon,"tender, juicy",Lobster Tail,"rich, buttery",Truffle Fries,"crispy, savory",,,,
257,"authentic Mexican cuisine, friendly staff, great value",,Tacos,"flavorful, spicy",Guacamole,"fresh, creamy",Enchiladas,"rich, cheesy",,,,
258,"wonderful brunch, nice outdoor seating, friendly service",,Eggs Benedict,perfectly poached,French Toast,"sweet, delicious",Bacon,"crispy, flavorful",,,,
259,"cozy atmosphere, great coffee, friendly baristas",,Cappuccino,"rich, frothy",Latte,"creamy, smooth",Espresso,"strong, bold",,,,
